"id","id","time_disturbance","B4","trait","fitness"
5,5,16,0,-8.92200340714773,-0.220500614310314
5,5,16,0,-8.90278094282584,-0.233308942314027
5,5,16,0,-8.88355847850394,-0.245844663273019
5,5,16,0,-8.86433601418205,-0.258121989026467
5,5,16,0,-8.84511354986015,-0.270158039735012
5,5,16,0,-8.82589108553825,-0.281964899614153
5,5,16,0,-8.80666862121636,-0.293557148869361
5,5,16,0,-8.78744615689446,-0.304946634666689
5,5,16,0,-8.74900122825067,-0.327165600770355
5,5,16,0,-8.65288890664118,-0.379889477128108
5,5,16,0,-8.47988672774412,-0.467126837516989
5,5,16,0,-8.44144179910032,-0.485503366059559
5,5,16,0,-8.38377440613463,-0.512530442125133
5,5,16,0,-8.19154976291567,-0.59894294077407
5,5,16,0,-7.92243526240912,-0.713795264248155
5,5,16,0,-7.55720844029309,-0.864837811188049
5,5,16,0,-7.38420626139602,-0.936221220694334
5,5,16,0,-7.05742436792378,-1.07317865761984
5,5,16,0,-6.99975697495809,-1.09780747193268
5,5,16,0,-6.9228671176705,-1.13092118332522
5,5,16,0,-6.49997290258878,-1.31984636259133
5,5,16,0,-5.98096636589758,-1.57176673409254
5,5,16,0,-5.48118229352827,-1.8393356669595
5,5,16,0,-5.38506997191879,-1.89397423630525
5,5,16,0,-5.25051272166551,-1.97234545378163
5,5,16,0,-5.23129025734361,-1.98372508128051
5,5,16,0,-4.82761850658379,-2.2343802410537
5,5,16,0,-4.2124996482831,-2.66592927517092
5,5,16,0,-4.05871993370793,-2.7847609763136
5,5,16,0,-3.30904382515397,-3.43851135101118
5,5,16,0,-2.88614961007225,-3.87033755911889
5,5,16,0,-2.73236989549707,-4.04046223286473
5,5,16,0,-2.71314743117518,-4.06226758985163
5,5,16,0,-2.42481046634673,-4.40419993999525
5,5,16,0,-1.09846042813588,-6.27250148015669
5,5,16,0,-0.444896641191397,-7.34342534916865
5,5,16,0,-0.118114747719156,-7.96608367655264
5,5,16,0,-0.0988922833972605,-8.0060430245778
5,5,16,0,0.0741098954998076,-8.39202071370147
6,6,32,0,-9.21034037197618,-6.06344469274361e-07
6,6,32,0,-9.21034037197618,-3.87110374781607e-06
6,6,32,0,-9.19072400446974,-0.0231876758203043
6,6,32,0,-9.1711076369633,-0.0466512398385271
6,6,32,0,-9.15149126945687,-0.0702885316835162
6,6,32,0,-9.13187490195043,-0.0939203801631053
6,6,32,0,-9.11225853444399,-0.117421232640033
6,6,32,0,-9.09264216693755,-0.140585409586695
6,6,32,0,-9.07302579943111,-0.163211648967737
6,6,32,0,-9.05340943192467,-0.185115172459397
6,6,32,0,-9.03379306441823,-0.206093578871681
6,6,32,0,-9.01417669691179,-0.226026683258082
6,6,32,0,-8.99456032940535,-0.244878839202957
6,6,32,0,-8.97494396189891,-0.262630277248202
6,6,32,0,-8.95532759439248,-0.279366940468237
6,6,32,0,-8.93571122688604,-0.295147212701863
6,6,32,0,-8.9160948593796,-0.310126144019552
